연번,자치구,신호등종류,위도,경도,주소
218,강남구,보행등,37.51775871,127.0451762,강남구 삼성동 15-1 대
219,강남구,보행등,37.51799135,127.0452014,강남구 청담동 15-21 대
220,강남구,보행등,37.50455078,127.0492449,강남구 삼성동 133 공
221,강남구,보행등,37.5009873,127.0264051,강남구 역삼동 800-31 도
222,강남구,보행등,37.48888261,127.0663123,강남구 개포동 511 대
223,강남구,보행등,37.49132103,127.0880802,강남구 일원동 4-44잡
224,강남구,보행등,37.50359122,127.0357655,강남구 역삼동 657-24 대
225,강남구,보행등,37.48920119,127.0664298,강남구 개포동 195 도
226,강남구,보행등,37.4971328,127.072735,강남구 대치동 4-20천
227,강남구,보행등,37.51310272,127.0204794,강남구 논현동 2-7 대
228,강남구,보행등,37.48405726,127.0451805,강남구 도곡동 174-41 철
229,강남구,보행등,37.48413855,127.044938,강남구 도곡동 180-3전
230,강남구,보행등,37.49124408,127.0369047,강남구 역삼동 792-74 대
231,강남구,보행등,37.49105082,127.0370366,강남구 도곡동 792-77 도
232,강남구,보행등,37.49083702,127.0350495,강남구 역삼동 840-14 대
233,강남구,보행등,37.50363231,127.0457489,강남구 역삼동 695-31 대
234,강남구,보행등,37.5033166,127.045805,강남구 역삼동 696-44 도
235,강남구,보행등,37.5028266,127.0428538,강남구 역삼동 698-27 대
236,강남구,보행등,37.49791405,127.0433771,강남구 역삼동 711-2 대
237,강남구,보행등,37.49781566,127.0435358,강남구 역삼동 711-1 대
238,강남구,보행등,37.48704205,127.1003187,강남구 수서동 708 대
239,강남구,보행등,37.4869955,127.100112,강남구 수서동 708 대
240,강남구,보행등,37.49440839,127.0635771,강남구 대치동 316 대
241,강남구,보행등,37.49421429,127.0635151,강남구 대치동 316 대
242,강남구,보행등,37.484456,127.0344837,강남구 도곡동 950-2 대
243,강남구,보행등,37.52593285,127.0335449,강남구 신사동 638-13 대
244,강남구,보행등,37.52593004,127.0331767,강남구 신사동 638-13 대
245,강남구,보행등,37.52317402,127.0334043,강남구 신사동 634-8 대
246,강남구,보행등,37.52304233,127.0330627,강남구 신사동 634-5 대
247,강남구,보행등,37.49053962,127.0353678,강남구 도곡동 792-7 대
248,강남구,보행등,37.49039229,127.0350287,강남구 도곡동 858-19 도
249,강남구,보행등,37.52583031,127.0401618,강남구 청담동 495 도
250,강남구,보행등,37.49863663,127.0518851,강남구 대치동 906-23 대
251,강남구,보행등,37.49856638,127.0516709,강남구 역삼동 907-18 대
252,강남구,보행등,37.52588086,127.0261915,강남구 신사동 435 도
253,강남구,보행등,37.46677093,127.1183475,강남구 세곡동 108-9 잡
254,강남구,보행등,37.48941586,127.0416693,강남구 도곡동 869-12도
255,강남구,보행등,37.48857566,127.0499986,강남구 도곡동 산24-1 임
256,강남구,보행등,37.48828214,127.0500737,강남구 도곡동 산24-1 임
257,강남구,보행등,37.46439886,127.108468,강남구 세곡동 110-5도
258,강남구,보행등,37.4961542,127.0697928,강남구 대치동 5-3도
259,강남구,보행등,37.49411887,127.0632182,강남구 대치동 316 대
260,강남구,보행등,37.4941953,127.0630224,강남구 대치동 316 대
261,강남구,보행등,37.49451002,127.0629862,강남구 대치동 316 대
262,강남구,보행등,37.49455689,127.0630187,강남구 대치동 316 대
263,강남구,보행등,37.49467155,127.0634436,강남구 대치동 316 대
264,강남구,보행등,37.52510922,127.0542239,강남구 청담동 343천
265,강남구,보행등,37.46502604,127.1098838,강남구 세곡동 산15임
266,강남구,보행등,37.46460909,127.1100649,강남구 세곡동 산11묘
267,강남구,보행등,37.51664717,127.0296407,강남구 논현동 65-6 대
268,강남구,보행등,37.51656162,127.0293918,강남구 논현동 65-4 대
269,강남구,보행등,37.49919695,127.0624872,강남구 대치동 980-8 대
270,강남구,보행등,37.49333652,127.0611332,강남구 대치동 208-6 공
271,강남구,보행등,37.49261811,127.0595895,강남구 대치동 612 대
272,강남구,보행등,37.50490766,127.0415046,강남구 역삼동 685-4 대
273,강남구,보행등,37.46499323,127.1081323,강남구 세곡동 산20임
274,강남구,보행등,37.4648824,127.1086607,강남구 세곡동 산18임
275,강남구,보행등,37.51560472,127.0357032,강남구 논현동 279-45 도
276,강남구,보행등,37.49865743,127.0515726,강남구 역삼동 907-7 대
277,강남구,보행등,37.52283264,127.0375508,강남구 신사동 657-33 대
278,강남구,보행등,37.52249438,127.0376284,강남구 논현동 655-3 대
279,강남구,보행등,37.51137666,127.0227548,강남구 논현동 24-4 대
