주소,위도,경도,CCTV 수량,설치목적
서울특별시 광진구 천호대로107길 8 (중곡동),37.56524,127.08701,1,생활방범
서울특별시 광진구 천호대로109길 53 (중곡동),37.56877,127.08683,1,생활방범
서울특별시 광진구 천호대로110길 122 (능동),37.55866,127.09168,1,생활방범
서울특별시 광진구 천호대로110길 34 (능동),37.55745,127.08875,1,생활방범
서울특별시 광진구 천호대로110길 8,37.57009,127.08178,1,생활방범
서울특별시 광진구 천호대로110길 87 (능동),37.56742,127.08861,1,생활방범
서울특별시 광진구 천호대로111길 9,37.54502,127.07125,1,생활방범
서울특별시 광진구 천호대로112길 10 (능동),37.54312,127.08136,1,생활방범
서울특별시 광진구 천호대로112길 25 (능동),37.54285,127.071,1,생활방범
서울특별시 광진구 천호대로112길 53,37.54568,127.07066,1,생활방범
서울특별시 광진구 천호대로112길 60,37.5454,127.07905,1,생활방범
서울특별시 광진구 천호대로116길 26 (능동),37.54686,127.09175,1,생활방범
서울특별시 광진구 천호대로116길 36,37.53182,127.0841,1,생활방범
서울특별시 광진구 천호대로116길 66 (능동),37.53574,127.08941,1,생활방범
서울특별시 광진구 천호대로116길 88 (능동),37.53443,127.09112,1,생활방범
서울특별시 광진구 천호대로116길 97,37.5363,127.07971,1,생활방범
서울특별시 광진구 천호대로118길 16 (능동),37.54692,127.08704,1,생활방범
서울특별시 광진구 천호대로118길 33-17,37.5438,127.0838,1,생활방범
서울특별시 광진구 천호대로118길 36 (능동),37.53037,127.09051,1,생활방범
서울특별시 광진구 천호대로119길 16,37.55548,127.08904,1,생활방범
서울특별시 광진구 천호대로119길 89 (중곡동),37.54999,127.08958,1,생활방범
서울특별시 광진구 천호대로120길 21 (능동),37.54909,127.06955,1,생활방범
서울특별시 광진구 천호대로120길 21 (능동),37.55422,127.07518,1,생활방범
서울특별시 광진구 천호대로121길 39 (중곡동),37.53911,127.09407,1,생활방범
서울특별시 광진구 천호대로121길 6 (중곡동),37.55705,127.07915,1,생활방범
서울특별시 광진구 천호대로122길 33,37.55216,127.08991,1,생활방범
서울특별시 광진구 천호대로122길 33 (능동),37.53087,127.08644,1,생활방범
서울특별시 광진구 천호대로123길83-13,37.53215,127.06723,1,생활방범
서울특별시 광진구 천호대로124길 62 (능동),37.54007,127.07097,1,생활방범
서울특별시 광진구 천호대로124길 86 (능동),37.54007,127.07097,1,생활방범
서울특별시 광진구 천호대로125길 35-17 (중곡동),37.53715,127.08542,1,생활방범
서울특별시 광진구 천호대로125길 58,37.54785,127.07434,1,생활방범
서울특별시 광진구 천호대로132길 27-7 (구의동),37.53746,127.08675,1,생활방범
